Population,200,Universe,9,0 Gen A,1,2,3,4,5,6,7,8 Expt
pID,sno,ETA, @U,ETD, >U, @Role, @Mx,Age-Gp,,,,
0,0,0,0,12,8,R,1,0,,,,
0,1,12,8,18,0,R,1,0,,,,
0,2,18,0,0,0,R,1,0,,,,
1,0,0,0,12,8,R,1,0,,,,
1,1,12,8,18,0,R,1,0,,,,
1,2,18,0,0,0,R,1,0,,,,
2,0,0,0,-1,0,R,1,0,,,,
3,0,0,0,-1,0,R,1,0,,,,
4,0,0,0,-1,0,R,1,0,,,,
5,0,0,0,-1,0,R,1,0,,,,
6,0,0,0,-1,0,R,1,0,,,,
7,0,0,0,-1,0,R,1,0,,,,
8,0,0,0,-1,0,R,1,0,,,,
9,0,0,0,-1,0,R,1,0,,,,
10,0,0,0,-1,0,R,1,0,,,,
11,0,0,0,-1,0,R,1,0,,,,
12,0,0,0,-1,0,R,1,0,,,,
13,0,0,0,-1,0,R,1,0,,,,
14,0,0,0,-1,0,R,1,0,,,,
15,0,0,0,-1,0,R,1,0,,,,
16,0,0,0,-1,0,R,1,0,,,,
17,0,0,0,-1,0,R,1,0,,,,
18,0,0,0,-1,0,R,1,0,,,,
19,0,0,0,-1,0,R,1,0,,,,
20,0,0,0,-1,0,R,1,0,,,,
21,0,0,0,-1,0,R,1,0,,,,
22,0,0,0,-1,0,R,1,0,,,,
23,0,0,0,-1,0,R,1,0,,,,
24,0,0,0,-1,0,R,1,0,,,,
25,0,0,0,-1,0,R,1,0,,,,
26,0,0,0,-1,0,R,1,0,,,,
27,0,0,0,-1,0,R,1,0,,,,
28,0,0,0,-1,0,R,1,0,,,,
29,0,0,0,-1,0,R,1,0,,,,
30,0,0,0,-1,0,R,1,0,,,,
31,0,0,0,-1,0,R,1,0,,,,
32,0,0,0,-1,0,R,1,0,,,,
33,0,0,0,-1,0,R,1,0,,,,
34,0,0,0,-1,0,R,1,0,,,,
35,0,0,0,-1,0,R,1,0,,,,
36,0,0,0,-1,0,R,1,0,,,,
37,0,0,0,-1,0,R,1,0,,,,
38,0,0,0,-1,0,R,1,0,,,,
39,0,0,0,-1,0,R,1,0,,,,
40,0,0,0,-1,0,R,1,1,,,,
41,0,0,0,-1,0,R,1,1,,,,
42,0,0,0,-1,0,R,1,1,,,,
43,0,0,0,-1,0,R,1,1,,,,
44,0,0,0,-1,0,R,1,1,,,,
45,0,0,0,-1,0,R,1,1,,,,
46,0,0,0,-1,0,R,1,1,,,,
47,0,0,0,-1,0,R,1,1,,,,
48,0,0,0,-1,0,R,1,1,,,,
49,0,0,0,-1,0,R,1,1,,,,
50,0,0,0,-1,0,R,1,1,,,,
51,0,0,0,-1,0,R,1,1,,,,
52,0,0,0,-1,0,R,1,1,,,,
53,0,0,0,-1,0,R,1,1,,,,
54,0,0,0,-1,0,R,1,1,,,,
55,0,0,0,-1,0,R,1,1,,,,
56,0,0,0,-1,0,R,1,1,,,,
57,0,0,0,-1,0,R,1,1,,,,
58,0,0,0,-1,0,R,1,1,,,,
59,0,0,0,-1,0,R,1,1,,,,
60,0,0,0,-1,0,R,1,1,,,,
61,0,0,0,-1,0,R,1,1,,,,
62,0,0,0,-1,0,R,1,1,,,,
63,0,0,0,-1,0,R,1,1,,,,
64,0,0,0,-1,0,R,1,1,,,,
65,0,0,0,-1,0,R,1,1,,,,
66,0,0,0,-1,0,R,1,1,,,,
67,0,0,0,-1,0,R,1,1,,,,
68,0,0,0,-1,0,R,1,1,,,,
69,0,0,0,-1,0,R,1,1,,,,
70,0,0,0,-1,0,R,1,1,,,,
71,0,0,0,-1,0,R,1,1,,,,
72,0,0,0,-1,0,R,1,1,,,,
73,0,0,0,-1,0,R,1,1,,,,
74,0,0,0,-1,0,R,1,1,,,,
75,0,0,0,-1,0,R,1,1,,,,
